Frame,Tracking_ID,Class,X_Center,Y_Center,Width,Height
16,1723,person,1152.65,525.45,23.15,85.28
17,1706,traffic light,843.38,251.48,29.32,97.08
17,1707,person,396.59,531.05,59.97,159.27
17,1708,person,285.54,546.92,53.92,136.89
17,1709,traffic light,113.21,160.88,36.17,77.84
17,1710,person,873.04,542.85,35.8,96.21
17,1711,person,1119.71,520.58,40.77,111.43
17,1713,person,1167.75,535.89,39.29,111.38
17,1714,person,715.45,508.74,27.19,86.7
17,1715,person,1048.69,525.37,42.95,101.49
17,1716,traffic light,203.13,332.81,26.42,105.71
17,1717,person,820.85,530.94,40.41,115.05
17,1718,motorcycle,464.38,575.52,65.74,104.09
17,1719,traffic light,1004.58,367.99,25.87,73.99
17,1720,traffic light,1002.96,351.0,25.5,41.32
17,1721,person,673.97,491.74,19.98,57.66
17,1763,bicycle,829.13,559.63,44.07,62.46
17,1768,bicycle,728.91,523.14,37.21,62.82
17,1724,person,473.36,537.1,57.92,151.41
17,1712,person,512.37,542.99,49.92,149.38
17,1723,person,1152.75,526.27,24.11,88.4
18,1706,traffic light,843.33,251.55,29.41,97.27
18,1707,person,396.53,530.56,59.45,157.89
18,1708,person,285.56,546.85,53.85,136.63
18,1709,traffic light,113.28,160.9,36.18,77.59
18,1710,person,872.8,543.25,35.6,95.1
18,1711,person,1119.57,520.48,40.65,111.23
18,1713,person,1168.12,536.01,39.43,111.28
18,1714,person,715.77,509.07,26.84,85.98
18,1715,person,1048.88,524.98,43.37,102.83
18,1716,traffic light,203.09,332.6,26.48,106.21
18,1717,person,821.06,531.06,40.48,115.08
18,1718,motorcycle,463.83,575.58,66.51,104.85
18,1719,traffic light,1004.44,367.85,25.8,73.9
18,1720,traffic light,1003.13,349.21,23.27,37.38
18,1721,person,674.37,491.75,19.88,57.07
18,1763,bicycle,829.24,559.1,44.97,63.85
18,1768,bicycle,728.79,523.95,36.36,61.27
18,1724,person,470.52,535.21,58.2,149.92
18,1712,person,513.6,545.84,48.03,145.0
18,1723,person,1152.96,526.93,24.14,88.03
18,1722,person,1252.01,520.39,28.61,80.86
19,1706,traffic light,843.23,251.56,29.42,97.27
19,1707,person,396.33,530.46,59.21,157.47
19,1708,person,285.36,546.65,53.82,136.41
19,1709,traffic light,113.21,160.85,36.13,77.12
19,1710,person,872.89,543.16,35.82,94.7
19,1711,person,1119.46,520.57,40.78,111.62
19,1713,person,1167.99,536.1,39.56,111.01
19,1714,person,716.01,509.4,26.58,85.66
19,1715,person,1048.93,525.27,43.01,102.17
19,1716,traffic light,203.02,332.61,26.57,106.95
19,1717,person,821.25,531.18,40.52,115.03
